Player	MP	G	MPG	PPG	RPG	APG	P + R + A	3P	FGM	FGATT	FG_PCT	3PA	FG3_PCT	FTM	FTATT	FT_PCT	SPG	BPG	TPG	FPG	BPM
Jusuf Nurkić	25	1	25.0	9.0	9.0	2.0	20.0	0.0	3.0	6.0	0.5	0.0	0.0	3.0	4.0	0.75	2.0	2.0	1.0	3.0	5.0
De'Anthony Melton	25	1	25.0	6.0	4.0	3.0	13.0	2.0	2.0	9.0	0.22	8.0	0.25	0.0	0.0	0.0	1.0	0.0	1.0	3.0	9.0
Bobby Portis	25	1	25.0	22.0	10.0	1.0	33.0	2.0	9.0	11.0	0.82	2.0	1.0	2.0	2.0	1.0	0.0	0.0	2.0	1.0	10.0
Andrew Wiggins	25	1	25.0	14.0	2.0	0.0	16.0	0.0	6.0	10.0	0.6	1.0	0.0	2.0	2.0	1.0	0.0	0.0	1.0	2.0	-5.0
Nicolas Batum	25	1	25.0	14.0	5.0	3.0	22.0	4.0	5.0	5.0	1.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
Paul Reed	24	1	24.0	8.0	8.0	2.0	18.0	0.0	3.0	9.0	0.33	1.0	0.0	2.0	2.0	1.0	2.0	3.0	0.0	4.0	9.0
Isaac Okoro	24	1	24.0	10.0	0.0	0.0	10.0	2.0	3.0	4.0	0.75	2.0	1.0	2.0	4.0	0.5	2.0	1.0	2.0	1.0	15.0
Christian Braun	23	1	23.0	5.0	3.0	2.0	10.0	1.0	1.0	6.0	0.17	2.0	0.5	2.0	4.0	0.5	1.0	1.0	0.0	3.0	3.0
Kevon Looney	23	1	23.0	6.0	9.0	6.0	21.0	0.0	3.0	4.0	0.75	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0
Caris LeVert	23	1	23.0	17.0	6.0	7.0	30.0	3.0	6.0	12.0	0.5	4.0	0.75	2.0	4.0	0.5	1.0	0.0	1.0	3.0	18.0
Nickeil Alexander-Walker	22	1	22.0	6.0	1.0	2.0	9.0	2.0	2.0	8.0	0.25	7.0	0.29	0.0	0.0	0.0	2.0	1.0	0.0	4.0	-12.0
Jaylin Williams	21	1	21.0	5.0	1.0	2.0	8.0	0.0	0.0	3.0	0.0	1.0	0.0	5.0	6.0	0.83	0.0	0.0	0.0	2.0	-13.0
Gary Payton II	21	1	21.0	4.0	2.0	1.0	7.0	0.0	2.0	4.0	0.5	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	5.0
Grant Williams	20	1	20.0	7.0	3.0	2.0	12.0	1.0	3.0	6.0	0.5	4.0	0.25	0.0	2.0	0.0	0.0	0.0	1.0	1.0	-7.0
Josh Giddey	20	1	20.0	5.0	5.0	4.0	14.0	1.0	2.0	6.0	0.33	3.0	0.33	0.0	0.0	0.0	0.0	1.0	0.0	3.0	29.0
Mo Bamba	20	1	20.0	11.0	3.0	0.0	14.0	2.0	4.0	6.0	0.67	2.0	1.0	1.0	2.0	0.5	1.0	4.0	2.0	1.0	9.0
Amir Coffey	19	1	19.0	0.0	2.0	1.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	-1.0
Dario Šarić	19	1	19.0	15.0	6.0	2.0	23.0	3.0	6.0	9.0	0.67	5.0	0.6	0.0	0.0	0.0	0.0	0.0	4.0	1.0	3.0
Collin Gillespie	18	1	18.0	3.0	3.0	1.0	7.0	1.0	1.0	5.0	0.2	2.0	0.5	0.0	0.0	0.0	2.0	0.0	2.0	4.0	-6.0
Derrick Jones Jr.	18	1	18.0	6.0	2.0	0.0	8.0	1.0	2.0	4.0	0.5	2.0	0.5	1.0	1.0	1.0	0.0	0.0	1.0	0.0	-21.0
Kyle Anderson	18	1	18.0	4.0	1.0	4.0	9.0	0.0	1.0	2.0	0.5	0.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	1.0	-24.0
